Year,AverageTemperature,AverageTemperatureUncertainty,UpperBound,LowerBound
1846,15.671088774341353,1.6944226804123712,17.365511454753722,13.976666093928982
1847,14.946831609195403,1.7932729885057472,16.74010459770115,13.153558620689656
1848,15.14117893544734,1.5612021517553794,16.702381087202717,13.57997678369196
1849,16.125550925925925,1.4928148148148148,17.61836574074074,14.632736111111111
1850,16.86025909090909,1.5012295454545455,18.361488636363635,15.359029545454543
1851,16.761128254580523,1.5711967213114753,18.332324975892,15.189931533269048
1852,15.831357406431207,1.5199652082235107,17.35132261465472,14.311392198207697
1853,16.030668002003004,1.3504421632448673,17.381110165247872,14.680225838758137
1854,16.124288279301744,1.515036408977556,17.639324688279302,14.609251870324188
1855,16.138632594021214,1.4554146576663454,17.59404725168756,14.683217936354868
1856,16.885113224237063,1.463972578505086,18.34908580274215,15.421140645731978
1857,16.744694468452895,1.3339360414866033,18.078630509939497,15.410758426966291
1858,17.081381213142375,1.433835299073294,18.51521651221567,15.647545914069081
1859,17.686984337349397,1.320001204819277,19.006985542168675,16.36698313253012
1860,17.111546093427037,1.2373476643241008,18.34889375775114,15.874198429102936
1861,17.19958470394737,1.3299580592105265,18.529542763157895,15.869626644736844
1862,16.013586925627664,1.4610033159639981,17.474590241591663,14.552583609663666
1863,16.426328928739974,1.5649075035394056,17.99123643227938,14.861421425200568
1864,16.7286143707483,1.3382002551020409,18.06681462585034,15.390414115646259
1865,16.577466574458278,1.2944541263254956,17.87192070078377,15.283012448132782
1866,16.36495131086142,1.1681526217228464,17.533103932584268,15.196798689138575
1867,16.44776579068695,1.2993065928999539,17.747072383586904,15.148459197786996
1868,16.93685211581292,1.2772979955456571,18.214150111358574,15.659554120267261
1869,17.021076,1.2826546666666667,18.303730666666667,15.738421333333335
1870,16.606714603739984,1.2593236865538735,17.866038290293858,15.347390917186111
1871,16.143479502533395,1.2045914325195763,17.348070935052974,14.93888807001382
1872,16.69826518312471,1.3973741307371348,18.095639313861845,15.300891052387577
1873,17.25198496563574,1.1310927835051547,18.383077749140895,16.120892182130582
1874,17.34341467436109,1.1293149216817806,18.472729596042868,16.21409975267931
1875,17.37470145259939,1.0071162079510703,18.38181766055046,16.367585244648318
1876,17.75928045112782,1.1431943609022557,18.90247481203008,16.616086090225565
1877,18.00654232804233,1.2462853363567648,19.252827664399092,16.760256991685566
1878,18.342224736048266,1.127063725490196,19.46928846153846,17.21516101055807
1879,17.369740291262136,1.0455627022653722,18.415302993527508,16.324177588996765
1880,17.735369770071618,1.0434719185827366,18.778841688654353,16.691897851488882
1881,17.736361367127497,0.9739312596006146,18.710292626728112,16.762430107526882
1882,17.813810790273557,0.8779346504559271,18.691745440729484,16.93587613981763
1883,17.98762486248625,0.9218753208654199,18.90950018335167,17.06574954162083
1884,17.773038162282326,0.9581726565394592,18.731210818821786,16.814865505742866
1885,17.676919330289195,0.9245848554033487,18.601504185692544,16.752334474885846
1886,17.935256578947367,0.9330482456140351,18.868304824561402,17.002208333333332
1887,17.814221815519765,0.8996500732064422,18.713871888726207,16.914571742313324
1888,17.71715990990991,0.9060972222222221,18.62325713213213,16.811062687687688
1889,18.138997806215723,0.8891378427787934,19.028135648994517,17.24985996343693
1890,18.060208779443254,0.9434339757316202,19.003642755174873,17.116774803711635
1891,18.19210734463277,0.7944643361581921,18.986571680790963,17.397643008474578
1892,18.215350988700568,0.7869728107344632,19.002323799435032,17.428378177966103
1893,18.135379943502826,0.7796843220338983,18.915064265536724,17.35569562146893
1894,18.245692334864007,0.7397894736842106,18.98548180854822,17.505902861179795
1895,18.250661996497374,0.7227348511383538,18.97339684763573,17.52792714535902
1896,18.341112044817926,0.7555119047619048,19.09662394957983,17.585600140056023
1897,18.477700773558368,0.7674848804500702,19.245185654008438,17.7102158931083
1898,18.376058409570724,0.787518296973962,19.163576706544685,17.588540112596764
1899,18.44215869106263,0.7339809992962703,19.1761396903589,17.70817769176636
1900,18.514535638673255,0.747604798870854,19.262140437544108,17.766930839802402
1901,18.49119317382125,0.7728800140745954,19.264073187895846,17.718313159746657
1902,18.32801123201123,0.7361919971919972,19.06420322920323,17.591819234819233
1903,18.43477083333333,0.7248583333333334,19.159629166666665,17.709912499999998
1904,18.211075,0.6665680555555555,18.877643055555556,17.544506944444446
1905,18.399508680555556,0.6803354166666666,19.07984409722222,17.71917326388889
1906,18.481419097222222,0.6540746527777778,19.13549375,17.827344444444446
1907,18.13715611961057,0.6278372739916551,18.764993393602225,17.509318845618914
1908,18.291030945758,0.6505521557719054,18.941583101529904,17.640478789986094
1909,18.34412777777778,0.6233940972222223,18.967521875,17.720733680555558
1910,18.38008125,0.6535722222222222,19.033653472222223,17.726509027777777
1911,18.408202430555555,0.6089822916666666,19.017184722222222,17.799220138888888
1912,18.46474097222222,0.6296590277777777,19.094399999999997,17.835081944444443
1913,18.491489583333333,0.6160201388888888,19.107509722222222,17.875469444444445
1914,18.660602430555556,0.6429680555555556,19.303570486111113,18.017634375
1915,18.711239930555557,0.6226468749999999,19.333886805555558,18.088593055555556
1916,18.551877430555557,0.6273631944444444,19.179240625000002,17.92451423611111
1917,18.242554166666668,0.6629888888888888,18.905543055555558,17.579565277777778
1918,18.393740277777777,0.6073854166666667,19.001125694444443,17.78635486111111
1919,18.53186145833333,0.6333298611111111,19.165191319444443,17.89853159722222
1920,18.532302155771905,0.6467858136300417,19.179087969401948,17.885516342141862
1921,18.605046891281695,0.5842650225772837,19.18931191385898,18.02078186870441
1922,18.504153125000002,0.5795305555555555,19.08368368055556,17.924622569444445
1923,18.565419444444444,0.5473954861111111,19.112814930555555,18.018023958333334
1924,18.621859027777777,0.5534086805555556,19.175267708333333,18.06845034722222
1925,18.588913194444444,0.5600399305555556,19.148953125,18.02887326388889
1926,18.86793229166667,0.5449274305555556,19.412859722222226,18.323004861111112
1927,18.739181944444443,0.5258208333333333,19.265002777777777,18.21336111111111
1928,18.73845902777778,0.5307666666666666,19.269225694444444,18.207692361111114
1929,18.485819444444445,0.5413725694444445,19.02719201388889,17.944446875
1930,18.84251094129906,0.5080593956234803,19.35057033692254,18.33445154567558
1931,18.7554,0.5065982638888888,19.26199826388889,18.248801736111112
1932,18.74608263888889,0.5181347222222222,19.26421736111111,18.22794791666667
1933,18.558323958333332,0.5141211805555556,19.072445138888888,18.044202777777777
1934,18.81882361111111,0.49387499999999995,19.31269861111111,18.32494861111111
1935,18.72231076388889,0.4794982638888889,19.201809027777777,18.2428125
1936,18.810619444444445,0.5075677083333333,19.318187152777778,18.30305173611111
1937,18.957946875,0.48999027777777776,19.44793715277778,18.467956597222223
1938,18.87344513888889,0.46926527777777777,19.34271041666667,18.40417986111111
1939,18.811529166666666,0.46889444444444445,19.28042361111111,18.342634722222222
1940,18.70296423611111,0.4493003472222222,19.152264583333334,18.253663888888887
1941,18.88144548611111,0.48470868055555555,19.366154166666668,18.396736805555555
1942,18.76261076388889,0.47481666666666666,19.237427430555556,18.287794097222225
1943,18.817043402777777,0.43629375000000004,19.253337152777778,18.380749652777777
1944,18.857434722222223,0.4362256944444444,19.29366041666667,18.421209027777778
1945,18.806567361111114,0.4417565972222222,19.248323958333337,18.36481076388889
1946,18.92441423611111,0.43634131944444443,19.360755555555556,18.488072916666667
1947,19.040987847222222,0.4254552083333333,19.466443055555555,18.61553263888889
1948,18.78403448275862,0.4043793103448276,19.188413793103447,18.379655172413795
1949,18.748070344827585,0.40533896551724136,19.153409310344827,18.342731379310344
1950,18.599716747070985,0.3828463128876637,18.98256305995865,18.21687043418332
1951,18.775119146005512,0.41141976584022033,19.186538911845734,18.36369938016529
1952,18.805691460055098,0.3528422865013774,19.158533746556476,18.45284917355372
1953,18.855640495867767,0.3456580578512397,19.201298553719006,18.50998243801653
1954,18.580321280991736,0.36891701101928376,18.94923829201102,18.21140426997245
1955,18.657285468319557,0.3560051652892562,19.013290633608815,18.3012803030303
1956,18.28758712121212,0.3760740358126721,18.66366115702479,17.91151308539945
1957,18.759615013774106,0.4850716253443526,19.24468663911846,18.274543388429752
1958,18.94217320936639,0.3980674931129477,19.34024070247934,18.544105716253444
1959,18.825205922865013,0.3813429752066116,19.206548898071624,18.443862947658403
1960,18.88701308539945,0.3742689393939394,19.26128202479339,18.51274414600551
1961,18.923565426997246,0.36353925619834715,19.287104683195594,18.5600261707989
1962,18.693847451790635,0.39113119834710747,19.084978650137742,18.302716253443528
1963,18.675247933884297,0.3663030303030303,19.041550964187326,18.308944903581267
1964,18.58127479338843,0.3610306473829201,18.94230544077135,18.220244146005513
1965,18.517540633608817,0.3858867079889807,18.903427341597798,18.131653925619837
1966,18.866287534435262,0.3533123278236915,19.219599862258953,18.51297520661157
1967,18.634186983471075,0.3540671487603306,18.988254132231404,18.280119834710746
1968,18.605818870523418,0.3498904958677686,18.955709366391186,18.25592837465565
1969,18.77152582644628,0.3545712809917355,19.126097107438014,18.416954545454544
1970,18.794121212121215,0.3394793388429752,19.13360055096419,18.45464187327824
1971,18.58820661157025,0.3320850550964187,18.920291666666667,18.256121556473833
1972,18.665611570247936,0.34973037190082645,19.015341942148762,18.31588119834711
1973,18.87329338842975,0.3534965564738292,19.22678994490358,18.519796831955922
1974,18.631447314049588,0.33470798898071624,18.966155303030305,18.29673932506887
1975,18.746661845730028,0.357012741046832,19.10367458677686,18.389649104683194
1976,18.48219662534435,0.3529331955922865,18.835129820936636,18.129263429752065
1977,18.92226067493113,0.3282207300275482,19.25048140495868,18.59403994490358
1978,18.729517217630857,0.33317183195592287,19.06268904958678,18.396345385674934
1979,18.909544077134985,0.3205158402203857,19.23005991735537,18.5890282369146
1980,18.853321280991736,0.3134944903581267,19.166815771349864,18.539826790633608
1981,18.91613636363636,0.3424466253443526,19.258582988980713,18.57368973829201
1982,18.85216873278237,0.3397892561983471,19.191957988980718,18.512379476584023
1983,19.094044077134985,0.3508199035812672,19.444863980716253,18.743224173553717
1984,18.764960743801655,0.3317200413223141,19.09668078512397,18.433240702479342
1985,18.69913085399449,0.3491559917355372,19.048286845730026,18.349974862258954
1986,18.80115185950413,0.3300836776859504,19.131235537190083,18.47106818181818
1987,19.05104476584022,0.3321690771349862,19.383213842975206,18.718875688705236
1988,19.111678719008264,0.32254201101928376,19.434220730027548,18.78913670798898
1989,19.05676687327824,0.3446160468319559,19.401382920110194,18.712150826446283
1990,19.317686294765842,0.35753236914600556,19.67521866391185,18.960153925619835
1991,19.011359848484847,0.3226528925619835,19.33401274104683,18.688706955922864
1992,18.97200723140496,0.3652369146005509,19.33724414600551,18.606770316804408
1993,18.93079958677686,0.339439738292011,19.27023932506887,18.59135984848485
1994,19.25170179063361,0.3380802341597796,19.58978202479339,18.91362155647383
1995,19.26706955922865,0.32523519283746555,19.592304752066113,18.941834366391184
1996,18.958374655647383,0.3277134986225895,19.286088154269972,18.630661157024793
1997,19.250350895316803,0.340228305785124,19.590579201101928,18.910122589531678
1998,19.59678305785124,0.3285550964187328,19.925338154269973,19.26822796143251
1999,19.392099517906335,0.33433505509641875,19.726434573002752,19.057764462809917
2000,19.349202134986225,0.34040392561983474,19.68960606060606,19.00879820936639
2001,19.42530337465565,0.35489634986225893,19.780199724517907,19.07040702479339
2002,19.56552341597796,0.34161742424242425,19.907140840220386,19.223905991735535
2003,19.525086776859503,0.37649586776859506,19.9015826446281,19.148590909090906
2004,19.42209194214876,0.35305716253443525,19.775149104683194,19.069034779614327
2005,19.499590220385674,0.33394214876033057,19.833532369146003,19.165648071625345
2006,19.539134986225896,0.3625678374655647,19.901702823691462,19.17656714876033
2007,19.610394283746555,0.33877995867768596,19.94917424242424,19.271614325068867
2008,19.423961776859503,0.3291518595041322,19.753113636363636,19.09480991735537
2009,19.546385330578513,0.3483612258953168,19.89474655647383,19.198024104683196
2010,19.629806129476584,0.3452289944903581,19.975035123966943,19.284577134986225
2011,19.456040289256197,0.3626763085399449,19.818716597796143,19.09336398071625
2012,19.46874414600551,0.4608329889807163,19.929577134986225,19.007911157024793
2013,19.877007153806847,0.5540408788962699,20.431048032703117,19.322966274910577
